[2023-11-17T21:36:29.335761+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:36:29.986070+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:36:30.338061+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:41:17.134403+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:41:43.938727+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T15:42:24.929681-05:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-24T12:44:36.774008-05:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-24T12:49:47.478702-05:00] Recalls_Logger.INFO: My logger is now ready {"Title":"something"} []
[2023-11-24T12:55:19.874051-05:00] Recalls_Logger.INFO: My logger is now ready ["Title"] []
[2023-11-24T12:56:30.164158-05:00] Recalls_Logger.INFO: My logger is now ready ["Title","Something else"] []
[2023-11-24T13:11:03.031398-05:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-24T13:16:35.674206-05:00] Recalls_Logger.INFO: Token is expired [] []
[2023-11-24T13:19:02.350653-05:00] Recalls_Logger.INFO: Token is expired [] []
[2023-11-24T13:21:36.096884-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET"} []
[2023-11-24T13:29:33.970393-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[]} []
[2023-11-24T13:35:25.165730-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[]} []
[2023-11-24T13:38:02.127481-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":"127.0.0.1"} []
[2023-11-24T13:39:56.841645-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":null} []
[2023-11-24T13:40:29.723865-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":null} []
[2023-11-24T13:40:46.152009-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":"127.0.0.1"} []
[2023-11-24T13:41:05.732779-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":null} []
[2023-11-24T13:41:59.505100-05:00] Recalls_Logger.INFO: Token is expired {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":"127.0.0.1"} []
[2023-11-24T13:44:29.977945-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://localhost/recalls-api/hello"},"Query Params":[],"Ip":"127.0.0.1"} []
[2023-11-24T13:46:32.446774-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:39.882651-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:40.046582-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
